seed,n_routed,n_merged,n_quads,n_leftover_final,seconds
104,5551,92814,51958,0,21.168482542037964
105,5521,92844,51943,0,19.448734045028687
106,5535,92830,51950,0,17.358155727386475
107,5515,92850,51940,0,20.40523409843445
108,5539,92826,51952,0,20.55880117416382
109,5509,92856,51937,0,18.265602827072144
110,5525,92840,51945,0,17.23110008239746
111,5557,92808,51961,0,20.289308071136475
112,5533,92832,51949,0,18.59884023666382
113,5529,92836,51947,0,17.561494827270508
114,5543,92822,51954,0,21.564204216003418
115,5533,92832,51949,0,23.490242958068848
116,5545,92820,51955,0,22.192278146743774
117,5527,92838,51946,0,23.6307213306427
118,5545,92820,51955,0,22.23704171180725
119,5531,92834,51948,0,17.749443531036377
120,5521,92844,51943,0,20.22495174407959
121,5521,92844,51943,0,18.036505460739136
122,5535,92830,51950,0,18.125169277191162
123,5531,92834,51948,0,17.865562915802002
124,5549,92816,51957,0,17.652108192443848
125,5531,92834,51948,0,18.13439702987671
126,5523,92842,51944,0,20.473292350769043
127,5545,92820,51955,0,17.163268089294434
128,5527,92838,51946,0,20.296441078186035
129,5517,92848,51941,0,17.646147966384888
130,5539,92826,51952,0,20.70257067680359
131,5539,92826,51952,0,17.929351329803467
132,5547,92818,51956,0,18.994712114334106
133,5537,92828,51951,0,19.275784015655518
134,5559,92806,51962,0,21.493139266967773
135,5549,92816,51957,0,17.393895149230957
136,5529,92836,51947,0,19.959301233291626
137,5525,92840,51945,0,17.397269248962402
138,5533,92832,51949,0,21.411157608032227
139,5535,92830,51950,0,18.84445858001709
140,5527,92838,51946,0,18.687012434005737
141,5515,92850,51940,0,17.434081077575684
142,5529,92836,51947,0,17.405550956726074
143,5533,92832,51949,0,20.66449236869812
144,5525,92840,51945,0,17.479032278060913
145,5521,92844,51943,0,20.336390018463135
146,5523,92842,51944,0,17.102226495742798
147,5529,92836,51947,0,20.158032178878784
148,5545,92820,51955,0,17.1266930103302
149,5521,92844,51943,0,20.324753522872925
150,5511,92854,51938,0,17.25503396987915
151,5533,92832,51949,0,17.448688507080078
152,5547,92818,51956,0,20.818896055221558
153,5537,92828,51951,0,20.384981155395508
154,5543,92822,51954,0,17.210067987442017
155,5521,92844,51943,0,17.39168405532837
156,5531,92834,51948,0,20.46976113319397
157,5553,92812,51959,0,20.17872905731201
158,5543,92822,51954,0,17.425086975097656
159,5551,92814,51958,0,17.319161653518677
160,5529,92836,51947,0,20.001699447631836
161,5521,92844,51943,0,18.951392650604248
162,5513,92852,51939,0,18.80605411529541
163,5517,92848,51941,0,17.15048122406006
164,5529,92836,51947,0,20.163755416870117
165,5517,92848,51941,0,20.107693433761597
166,5533,92832,51949,0,17.70287251472473
167,5541,92824,51953,0,17.077589750289917
168,5523,92842,51944,0,20.448974609375
169,5561,92804,51963,0,17.933218717575073
170,5543,92822,51954,0,20.27709197998047
171,5521,92844,51943,0,17.167919635772705
172,5517,92848,51941,0,17.90649914741516
173,5517,92848,51941,0,20.382200717926025
174,5519,92846,51942,0,17.392183303833008
175,5523,92842,51944,0,19.01287841796875
176,5533,92832,51949,0,18.3765709400177
177,5547,92818,51956,0,17.45934271812439
178,5517,92848,51941,0,20.40771245956421
179,5535,92830,51950,0,17.5405752658844
180,5545,92820,51955,0,18.074509382247925
181,5533,92832,51949,0,17.563057899475098
182,5543,92822,51954,0,17.87511968612671
183,5557,92808,51961,0,20.47004747390747
184,5535,92830,51950,0,17.273473024368286
185,5539,92826,51952,0,17.830827713012695
186,5527,92838,51946,0,17.254972457885742
187,5529,92836,51947,0,20.12739109992981
188,5547,92818,51956,0,17.187213897705078
189,5533,92832,51949,0,17.509786367416382
190,5521,92844,51943,0,17.17053985595703
191,5545,92820,51955,0,20.694763660430908
192,5527,92838,51946,0,17.441365480422974
193,5521,92844,51943,0,18.06491446495056
194,5537,92828,51951,0,17.59192728996277
195,5539,92826,51952,0,19.712474584579468
196,5547,92818,51956,0,17.2636559009552
197,5519,92846,51942,0,18.165634393692017
198,5535,92830,51950,0,17.316007375717163
199,5541,92824,51953,0,17.391857385635376
200,5525,92840,51945,0,17.2635235786438
201,5513,92852,51939,0,20.100584983825684
202,5533,92832,51949,0,17.056582927703857
203,5519,92846,51942,0,17.415679454803467
204,5537,92828,51951,0,17.420237064361572
205,5527,92838,51946,0,17.253973722457886
206,5533,92832,51949,0,20.084188222885132
207,5533,92832,51949,0,17.431529760360718
208,5539,92826,51952,0,17.400063514709473
209,5527,92838,51946,0,17.245840787887573
210,5543,92822,51954,0,19.854082822799683
211,5531,92834,51948,0,17.365253925323486
212,5537,92828,51951,0,16.88833737373352
213,5533,92832,51949,0,16.900346517562866
214,5511,92854,51938,0,19.72831153869629
215,5525,92840,51945,0,17.03042244911194
216,5539,92826,51952,0,16.952016592025757
217,5533,92832,51949,0,17.211241483688354
218,5537,92828,51951,0,20.13028883934021
219,5527,92838,51946,0,17.14462423324585
220,5547,92818,51956,0,17.151471376419067
221,5521,92844,51943,0,17.2015278339386
222,5535,92830,51950,0,20.147584438323975
223,5531,92834,51948,0,17.237975597381592
224,5529,92836,51947,0,17.159502506256104
225,5537,92828,51951,0,17.06162405014038
226,5537,92828,51951,0,17.15218472480774
227,5539,92826,51952,0,17.223435163497925
228,5519,92846,51942,0,20.036150693893433
229,5549,92816,51957,0,16.9635112285614
